City,Temperature,Description
india/Mumbai,30ʡC,Haze.
india/Delhi,21ʡC,Sunny.
india/Bangalore,26ʡC,Passing clouds.
india/Kolkata,24ʡC,Haze.
india/Chennai,29ʡC,Broken clouds.
india/Hyderabad,29ʡC,Clear.
india/Pune,27ʡC,Sunny.
india/Ahmadabad,28ʡC,Clear.
india/Surat,28ʡC,Clear.
india/Jaipur,24ʡC,Clear.
india/Lucknow,25ʡC,Haze.
india/Indore,26ʡC,Scattered clouds.
india/Coimbatore,27ʡC,Overcast.
india/Patna,21ʡC,Haze.
india/Visakhapatnam,29ʡC,Sunny.
india/Nashik,32ʡC,Sunny.
india/Bhopal,25ʡC,Scattered clouds.
india/Kochi,32ʡC,Scattered clouds.
india/Goa,31ʡC,Panaji
india/Vadodara,28ʡC,Sunny.
india/Madurai,28ʡC,Partly sunny.
india/Guwahati,24ʡC,Haze.
india/Thrissur,32ʡC,Scattered clouds.
india/Ludhiana,20ʡC,Scattered clouds.
india/Meerut,21ʡC,Sunny.
india/Ranchi,23ʡC,Sunny.
india/Agra,23ʡC,Sunny.
india/Varanasi,23ʡC,Sunny.
india/Gwalior,23ʡC,Sunny.
india/Jammu,16ʡC,Sunny.
india/Allahabad,24ʡC,Sunny.
india/Patiala,20ʡC,Scattered clouds.
india/Srinagar,7ʡC,Haze.
india/Siliguri,15ʡC,Fog.
india/Kanpur,25ʡC,Haze.
india/Dehradun,21ʡC,Partly sunny.
india/Dhanbad,25ʡC,Sunny.
india/Nellore,28ʡC,Partly sunny.
india/Tirunelveli,31ʡC,Partly sunny.
india/Durgapur,23ʡC,Sunny.
india/Vijayawada,29ʡC,Scattered clouds.
india/Chittorgarh,24ʡC,Clear.
india/Belgaum,31ʡC,Fog.
india/Kozhikode,32ʡC,Scattered clouds.
india/Khammam,20ʡC,Sunny.
india/Bhubaneswar,26ʡC,Sunny.
india/Jamshedpur,25ʡC,Sunny.
india/Warangal,27ʡC,Sunny.
india/Rajkot,27ʡC,Haze.
india/Faridabad,21ʡC,Haze.
india/Howrah,23ʡC,Sunny.
india/Sangli,32ʡC,Sunny.
india/Mangalore,31ʡC,Scattered clouds.
india/Chhapra,21ʡC,Haze.
india/Aligarh,21ʡC,Haze.
india/Bhilai,26ʡC,Sunny.
india/Moradabad,22ʡC,Sunny.
india/Jodhpur,24ʡC,Clear.
india/Kota,25ʡC,Sunny.
india/Chandrapur,27ʡC,Sunny.
india/Belgaum,31ʡC,Fog.
india/Gaya,21ʡC,Haze.
india/Sambalpur,26ʡC,Sunny.
india/Anantapur,29ʡC,Scattered clouds.
india/Thane,32ʡC,Clear.
india/Nanded,29ʡC,Sunny.
india/Jalgaon,26ʡC,Scattered clouds.
india/Khanna,20ʡC,Scattered clouds.
india/Karnal,19ʡC,Scattered clouds.
india/Alwar,24ʡC,Clear.
india/Raipur,26ʡC,Sunny.
india/Haridwar,21ʡC,Partly sunny.
india/Chittoor,19ʡC,Partly sunny.
india/Malappuram,30ʡC,Scattered clouds.
india/Nagercoil,32ʡC,Scattered clouds.
india/Sehore,25ʡC,Scattered clouds.
india/Dewas,26ʡC,Scattered clouds.
india/Bijnor,21ʡC,Partly sunny.
india/Unnao,25ʡC,Haze.
india/Nagaon,24ʡC,Sunny.
india/Sikar,24ʡC,Clear.
india/Churu,24ʡC,Clear.
india/Kottayam,32ʡC,Scattered clouds.
india/Madurai,28ʡC,Partly sunny.
india/Palakkad,27ʡC,Overcast.
india/Chhapra,21ʡC,Haze.
india/Fatehgarh,22ʡC,Sunny.
india/Asansol,25ʡC,Sunny.
india/Gurgaon,21ʡC,Haze.
india/Khagaria,20ʡC,Sunny.
india/Sikar,24ʡC,Clear.
india/Patiala,20ʡC,Scattered clouds.
india/Aligarh,21ʡC,Haze.
india/Puri,26ʡC,Sunny.
india/Manipur,18ʡC,Imphal
india/Beed,29ʡC,Sunny.
india/Anantapur,29ʡC,Scattered clouds.
india/Dibrugarh,24ʡC,Sunny.
india/Mathura,23ʡC,Sunny.
india/Imphal,18ʡC,Sunny.
india/Khandwa,26ʡC,Scattered clouds.
india/Jhansi,23ʡC,Sunny.
india/Nagapattinam,28ʡC,Partly sunny.
india/Chandrapur,27ʡC,Sunny.
india/Firozabad,23ʡC,Sunny.
india/Madhubani,20ʡC,Sunny.
india/Gorakhpur,14ʡC,Fog.
india/Karaikal,27ʡC,Overcast.
india/Chandigarh,21ʡC,Haze.
india/Chhapra,21ʡC,Haze.
india/Siwan,26ʡC,Sunny.
india/Tirunelveli,31ʡC,Partly sunny.
india/Hisar,18ʡC,Passing clouds.
india/Bhagalpur,20ʡC,Sunny.
india/Chandigarh,21ʡC,Haze.
india/Karur,28ʡC,Partly sunny.
india/Kolkata,24ʡC,Haze.
india/Noida,21ʡC,Haze.
india/Lucknow,25ʡC,Haze.
india/Raipur,26ʡC,Sunny.
india/Bhubaneswar,26ʡC,Sunny.
india/Rajkot,27ʡC,Haze.
india/Jaipur,24ʡC,Clear.
